aUsers,aSet,aType,a1_Assign,a1_Opt12,a2_Compare,a2_EU,a2_CompareAnswers,a3_Estimate,a3_Answers1,a3_Answers2,a3_Answers3,a3_Answers4,a3_Answers5,a3_Answers6
158,27,ScatterPlotColored,17/31/82/24/14/12,Opt1/Opt2/Opt1/Opt2/Opt2/Opt2,4/71/85/12/62/50,U/U/U/U/U/E,min/max/min/min/max/min,22/69/46/5/80/29,25/34/63/24/22/40,62/4/78/69/65/19,53/50/20/40/27/46,4/5/57/54/7/63,80/71/27/34/69/58,27/4/29/40/3/72
159,27,HeatMapDiscrete,17/31/82/24/14/12,Opt1/Opt2/Opt1/Opt2/Opt2/Opt2,4/71/85/12/62/50,U/U/U/U/U/E,min/max/min/min/max/min,22/69/46/5/80/29,25/34/63/24/22/40,62/4/78/69/65/19,53/50/20/40/27/46,4/5/57/54/7/63,80/71/27/34/69/58,27/4/29/40/3/72
160,27,HeatMapContinuous,17/31/82/24/14/12,Opt1/Opt2/Opt1/Opt2/Opt2/Opt2,4/71/85/12/62/50,U/U/U/U/U/E,min/max/min/min/max/min,22/69/46/5/80/29,25/34/63/24/22/40,62/4/78/69/65/19,53/50/20/40/27/46,4/5/57/54/7/63,80/71/27/34/69/58,27/4/29/40/3/72
161,27,IPPDiscrete,17/31/82/24/14/12,Opt1/Opt2/Opt1/Opt2/Opt2/Opt2,4/71/85/12/62/50,U/U/U/U/U/E,min/max/min/min/max/min,22/69/46/5/80/29,25/34/63/24/22/40,62/4/78/69/65/19,53/50/20/40/27/46,4/5/57/54/7/63,80/71/27/34/69/58,27/4/29/40/3/72
162,27,IPPContinuous,17/31/82/24/14/12,Opt1/Opt2/Opt1/Opt2/Opt2/Opt2,4/71/85/12/62/50,U/U/U/U/U/E,min/max/min/min/max/min,22/69/46/5/80/29,25/34/63/24/22/40,62/4/78/69/65/19,53/50/20/40/27/46,4/5/57/54/7/63,80/71/27/34/69/58,27/4/29/40/3/72
163,28,ScatterPlot,45/79/9/70/44/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,24/12/31/82/17/14,E/U/U/E/U/U,max/min/max/min/max/max,82/41/81/65/45/5,11/82/54/27/38/7,41/25/64/63/24/7,39/27/15/74/81/48,41/51/65/43/27/6,45/14/4/15/72/6,28/22/40/5/11/4
164,28,ScatterPlotColored,45/79/9/70/44/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,24/12/31/82/17/14,E/U/U/E/U/U,max/min/max/min/max/max,82/41/81/65/45/5,11/82/54/27/38/7,41/25/64/63/24/7,39/27/15/74/81/48,41/51/65/43/27/6,45/14/4/15/72/6,28/22/40/5/11/4
165,28,HeatMapDiscrete,45/79/9/70/44/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,24/12/31/82/17/14,E/U/U/E/U/U,max/min/max/min/max/max,82/41/81/65/45/5,11/82/54/27/38/7,41/25/64/63/24/7,39/27/15/74/81/48,41/51/65/43/27/6,45/14/4/15/72/6,28/22/40/5/11/4
166,28,HeatMapContinuous,45/79/9/70/44/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,24/12/31/82/17/14,E/U/U/E/U/U,max/min/max/min/max/max,82/41/81/65/45/5,11/82/54/27/38/7,41/25/64/63/24/7,39/27/15/74/81/48,41/51/65/43/27/6,45/14/4/15/72/6,28/22/40/5/11/4
167,28,IPPDiscrete,45/79/9/70/44/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,24/12/31/82/17/14,E/U/U/E/U/U,max/min/max/min/max/max,82/41/81/65/45/5,11/82/54/27/38/7,41/25/64/63/24/7,39/27/15/74/81/48,41/51/65/43/27/6,45/14/4/15/72/6,28/22/40/5/11/4
168,28,IPPContinuous,45/79/9/70/44/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,24/12/31/82/17/14,E/U/U/E/U/U,max/min/max/min/max/max,82/41/81/65/45/5,11/82/54/27/38/7,41/25/64/63/24/7,39/27/15/74/81/48,41/51/65/43/27/6,45/14/4/15/72/6,28/22/40/5/11/4
169,29,ScatterPlot,44/10/3/22/57/83,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,5/52/10/24/41/72,E/U/E/U/E/U,min/min/max/min/min/max,9/22/39/34/56/7,57/70/27/13/9/14,24/72/22/54/80/63,39/13/27/65/45/4,54/40/34/35/7/57,34/3/6/56/54/27,4/3/79/54/6/7
170,29,ScatterPlotColored,44/10/3/22/57/83,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,5/52/10/24/41/72,E/U/E/U/E/U,min/min/max/min/min/max,9/22/39/34/56/7,57/70/27/13/9/14,24/72/22/54/80/63,39/13/27/65/45/4,54/40/34/35/7/57,34/3/6/56/54/27,4/3/79/54/6/7
171,29,HeatMapDiscrete,44/10/3/22/57/83,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,5/52/10/24/41/72,E/U/E/U/E/U,min/min/max/min/min/max,9/22/39/34/56/7,57/70/27/13/9/14,24/72/22/54/80/63,39/13/27/65/45/4,54/40/34/35/7/57,34/3/6/56/54/27,4/3/79/54/6/7
172,29,HeatMapContinuous,44/10/3/22/57/83,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,5/52/10/24/41/72,E/U/E/U/E/U,min/min/max/min/min/max,9/22/39/34/56/7,57/70/27/13/9/14,24/72/22/54/80/63,39/13/27/65/45/4,54/40/34/35/7/57,34/3/6/56/54/27,4/3/79/54/6/7
173,29,IPPDiscrete,44/10/3/22/57/83,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,5/52/10/24/41/72,E/U/E/U/E/U,min/min/max/min/min/max,9/22/39/34/56/7,57/70/27/13/9/14,24/72/22/54/80/63,39/13/27/65/45/4,54/40/34/35/7/57,34/3/6/56/54/27,4/3/79/54/6/7
174,29,IPPContinuous,44/10/3/22/57/83,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,5/52/10/24/41/72,E/U/E/U/E/U,min/min/max/min/min/max,9/22/39/34/56/7,57/70/27/13/9/14,24/72/22/54/80/63,39/13/27/65/45/4,54/40/34/35/7/57,34/3/6/56/54/27,4/3/79/54/6/7
175,30,ScatterPlot,82/52/15/47/81/70,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,37/46/68/84/17/53,U/U/E/U/E/E,max/min/max/max/max/max,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
176,30,ScatterPlotColored,82/52/15/47/81/70,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,37/46/68/84/17/53,U/U/E/U/E/E,max/min/max/max/max/max,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
177,30,HeatMapDiscrete,82/52/15/47/81/70,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,37/46/68/84/17/53,U/U/E/U/E/E,max/min/max/max/max/max,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
178,30,HeatMapContinuous,82/52/15/47/81/70,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,37/46/68/84/17/53,U/U/E/U/E/E,max/min/max/max/max/max,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
179,30,IPPDiscrete,82/52/15/47/81/70,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,37/46/68/84/17/53,U/U/E/U/E/E,max/min/max/max/max/max,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
180,30,IPPContinuous,82/52/15/47/81/70,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,37/46/68/84/17/53,U/U/E/U/E/E,max/min/max/max/max/max,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
181,31,ScatterPlot,46/74/11/8/3/15,Opt1/Opt2/Opt2/Opt2/Opt1/Opt1,42/14/63/43/22/62,U/U/U/E/U/E,max/max/min/max/max/max,70/66/33/27/32/55,80/72/1/70/48/45,82/15/3/70/66/54,40/3/33/4/72/27,20/63/54/27/4/16,4/32/26/13/54/14,55/64/27/80/40/14
182,31,ScatterPlotColored,46/74/11/8/3/15,Opt1/Opt2/Opt2/Opt2/Opt1/Opt1,42/14/63/43/22/62,U/U/U/E/U/E,max/max/min/max/max/max,70/66/33/27/32/55,80/72/1/70/48/45,82/15/3/70/66/54,40/3/33/4/72/27,20/63/54/27/4/16,4/32/26/13/54/14,55/64/27/80/40/14
183,31,HeatMapDiscrete,46/74/11/8/3/15,Opt1/Opt2/Opt2/Opt2/Opt1/Opt1,42/14/63/43/22/62,U/U/U/E/U/E,max/max/min/max/max/max,70/66/33/27/32/55,80/72/1/70/48/45,82/15/3/70/66/54,40/3/33/4/72/27,20/63/54/27/4/16,4/32/26/13/54/14,55/64/27/80/40/14
184,31,HeatMapContinuous,46/74/11/8/3/15,Opt1/Opt2/Opt2/Opt2/Opt1/Opt1,42/14/63/43/22/62,U/U/U/E/U/E,max/max/min/max/max/max,70/66/33/27/32/55,80/72/1/70/48/45,82/15/3/70/66/54,40/3/33/4/72/27,20/63/54/27/4/16,4/32/26/13/54/14,55/64/27/80/40/14
185,31,IPPDiscrete,46/74/11/8/3/15,Opt1/Opt2/Opt2/Opt2/Opt1/Opt1,42/14/63/43/22/62,U/U/U/E/U/E,max/max/min/max/max/max,70/66/33/27/32/55,80/72/1/70/48/45,82/15/3/70/66/54,40/3/33/4/72/27,20/63/54/27/4/16,4/32/26/13/54/14,55/64/27/80/40/14
186,31,IPPContinuous,46/74/11/8/3/15,Opt1/Opt2/Opt2/Opt2/Opt1/Opt1,42/14/63/43/22/62,U/U/U/E/U/E,max/max/min/max/max/max,70/66/33/27/32/55,80/72/1/70/48/45,82/15/3/70/66/54,40/3/33/4/72/27,20/63/54/27/4/16,4/32/26/13/54/14,55/64/27/80/40/14
187,32,ScatterPlot,32/1/33/49/71/29,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,35/61/79/6/60/50,E/E/E/U/U/U,max/max/max/max/max/max,83/68/16/12/73/51,4/83/63/34/27/54,14/34/50/15/68/27,4/27/16/34/54/82,54/40/69/12/19/3,73/4/27/19/54/14,40/4/14/34/51/27
188,32,ScatterPlotColored,32/1/33/49/71/29,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,35/61/79/6/60/50,E/E/E/U/U/U,max/max/max/max/max/max,83/68/16/12/73/51,4/83/63/34/27/54,14/34/50/15/68/27,4/27/16/34/54/82,54/40/69/12/19/3,73/4/27/19/54/14,40/4/14/34/51/27
189,32,HeatMapDiscrete,32/1/33/49/71/29,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,35/61/79/6/60/50,E/E/E/U/U/U,max/max/max/max/max/max,83/68/16/12/73/51,4/83/63/34/27/54,14/34/50/15/68/27,4/27/16/34/54/82,54/40/69/12/19/3,73/4/27/19/54/14,40/4/14/34/51/27
190,32,HeatMapContinuous,32/1/33/49/71/29,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,35/61/79/6/60/50,E/E/E/U/U/U,max/max/max/max/max/max,83/68/16/12/73/51,4/83/63/34/27/54,14/34/50/15/68/27,4/27/16/34/54/82,54/40/69/12/19/3,73/4/27/19/54/14,40/4/14/34/51/27
191,32,IPPDiscrete,32/1/33/49/71/29,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,35/61/79/6/60/50,E/E/E/U/U/U,max/max/max/max/max/max,83/68/16/12/73/51,4/83/63/34/27/54,14/34/50/15/68/27,4/27/16/34/54/82,54/40/69/12/19/3,73/4/27/19/54/14,40/4/14/34/51/27
192,32,IPPContinuous,32/1/33/49/71/29,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,35/61/79/6/60/50,E/E/E/U/U/U,max/max/max/max/max/max,83/68/16/12/73/51,4/83/63/34/27/54,14/34/50/15/68/27,4/27/16/34/54/82,54/40/69/12/19/3,73/4/27/19/54/14,40/4/14/34/51/27
193,33,ScatterPlot,7/64/61/58/2/13,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,85/58/36/26/62/35,E/U/U/E/E/E,max/max/max/max/max/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
194,33,ScatterPlotColored,7/64/61/58/2/13,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,85/58/36/26/62/35,E/U/U/E/E/E,max/max/max/max/max/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
195,33,HeatMapDiscrete,7/64/61/58/2/13,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,85/58/36/26/62/35,E/U/U/E/E/E,max/max/max/max/max/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
196,33,HeatMapContinuous,7/64/61/58/2/13,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,85/58/36/26/62/35,E/U/U/E/E/E,max/max/max/max/max/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
197,33,IPPDiscrete,7/64/61/58/2/13,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,85/58/36/26/62/35,E/U/U/E/E/E,max/max/max/max/max/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
198,33,IPPContinuous,7/64/61/58/2/13,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,85/58/36/26/62/35,E/U/U/E/E/E,max/max/max/max/max/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
199,34,ScatterPlot,20/19/38/23/48/80,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,61/53/60/39/52/2,E/U/U/U/E/E,max/max/max/min/min/min,43/14/42/63/22/62,4/66/44/8/43/63,54/14/76/12/38/6,66/82/42/4/2/79,5/63/19/58/29/39,24/72/54/22/3/50,62/11/40/82/79/70
200,34,ScatterPlotColored,20/19/38/23/48/80,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,61/53/60/39/52/2,E/U/U/U/E/E,max/max/max/min/min/min,43/14/42/63/22/62,4/66/44/8/43/63,54/14/76/12/38/6,66/82/42/4/2/79,5/63/19/58/29/39,24/72/54/22/3/50,62/11/40/82/79/70
201,34,HeatMapDiscrete,20/19/38/23/48/80,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,61/53/60/39/52/2,E/U/U/U/E/E,max/max/max/min/min/min,43/14/42/63/22/62,4/66/44/8/43/63,54/14/76/12/38/6,66/82/42/4/2/79,5/63/19/58/29/39,24/72/54/22/3/50,62/11/40/82/79/70
202,34,HeatMapContinuous,20/19/38/23/48/80,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,61/53/60/39/52/2,E/U/U/U/E/E,max/max/max/min/min/min,43/14/42/63/22/62,4/66/44/8/43/63,54/14/76/12/38/6,66/82/42/4/2/79,5/63/19/58/29/39,24/72/54/22/3/50,62/11/40/82/79/70
203,34,IPPDiscrete,20/19/38/23/48/80,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,61/53/60/39/52/2,E/U/U/U/E/E,max/max/max/min/min/min,43/14/42/63/22/62,4/66/44/8/43/63,54/14/76/12/38/6,66/82/42/4/2/79,5/63/19/58/29/39,24/72/54/22/3/50,62/11/40/82/79/70
204,34,IPPContinuous,20/19/38/23/48/80,Opt2/Opt1/Opt2/Opt1/Opt2/Opt1,61/53/60/39/52/2,E/U/U/U/E/E,max/max/max/min/min/min,43/14/42/63/22/62,4/66/44/8/43/63,54/14/76/12/38/6,66/82/42/4/2/79,5/63/19/58/29/39,24/72/54/22/3/50,62/11/40/82/79/70
205,35,ScatterPlot,56/6/34/5/66/24,Opt1/Opt2/Opt2/Opt1/Opt2/Opt1,37/65/77/75/44/43,E/E/E/U/U/U,min/max/min/max/min/max,31/12/77/56/27/17,7/31/2/1/14/6,11/81/18/12/19/76,27/50/58/54/77/3,56/72/70/4/40/6,24/53/58/65/27/82,4/3/17/40/16/60
206,35,ScatterPlotColored,56/6/34/5/66/24,Opt1/Opt2/Opt2/Opt1/Opt2/Opt1,37/65/77/75/44/43,E/E/E/U/U/U,min/max/min/max/min/max,31/12/77/56/27/17,7/31/2/1/14/6,11/81/18/12/19/76,27/50/58/54/77/3,56/72/70/4/40/6,24/53/58/65/27/82,4/3/17/40/16/60
207,35,HeatMapDiscrete,56/6/34/5/66/24,Opt1/Opt2/Opt2/Opt1/Opt2/Opt1,37/65/77/75/44/43,E/E/E/U/U/U,min/max/min/max/min/max,31/12/77/56/27/17,7/31/2/1/14/6,11/81/18/12/19/76,27/50/58/54/77/3,56/72/70/4/40/6,24/53/58/65/27/82,4/3/17/40/16/60
208,35,HeatMapContinuous,56/6/34/5/66/24,Opt1/Opt2/Opt2/Opt1/Opt2/Opt1,37/65/77/75/44/43,E/E/E/U/U/U,min/max/min/max/min/max,31/12/77/56/27/17,7/31/2/1/14/6,11/81/18/12/19/76,27/50/58/54/77/3,56/72/70/4/40/6,24/53/58/65/27/82,4/3/17/40/16/60
209,35,IPPDiscrete,56/6/34/5/66/24,Opt1/Opt2/Opt2/Opt1/Opt2/Opt1,37/65/77/75/44/43,E/E/E/U/U/U,min/max/min/max/min/max,31/12/77/56/27/17,7/31/2/1/14/6,11/81/18/12/19/76,27/50/58/54/77/3,56/72/70/4/40/6,24/53/58/65/27/82,4/3/17/40/16/60
210,35,IPPContinuous,56/6/34/5/66/24,Opt1/Opt2/Opt2/Opt1/Opt2/Opt1,37/65/77/75/44/43,E/E/E/U/U/U,min/max/min/max/min/max,31/12/77/56/27/17,7/31/2/1/14/6,11/81/18/12/19/76,27/50/58/54/77/3,56/72/70/4/40/6,24/53/58/65/27/82,4/3/17/40/16/60
211,36,ScatterPlot,49/16/38/84/69/63,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,51/82/48/65/81/64,U/U/U/U/E/E,max/min/max/max/max/max,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
212,36,ScatterPlotColored,49/16/38/84/69/63,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,51/82/48/65/81/64,U/U/U/U/E/E,max/min/max/max/max/max,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
213,36,HeatMapDiscrete,49/16/38/84/69/63,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,51/82/48/65/81/64,U/U/U/U/E/E,max/min/max/max/max/max,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
214,36,HeatMapContinuous,49/16/38/84/69/63,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,51/82/48/65/81/64,U/U/U/U/E/E,max/min/max/max/max/max,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
215,36,IPPDiscrete,49/16/38/84/69/63,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,51/82/48/65/81/64,U/U/U/U/E/E,max/min/max/max/max/max,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
216,36,IPPContinuous,49/16/38/84/69/63,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,51/82/48/65/81/64,U/U/U/U/E/E,max/min/max/max/max/max,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
217,37,ScatterPlot,33/32/70/55/27/66,Opt1/Opt1/Opt2/Opt1/Opt1/Opt1,13/58/2/64/61/7,U/U/U/U/U/E,max/max/min/min/max/max,13/23/45/16/19/65,68/60/40/58/13/54,23/27/54/80/6/50,57/4/45/15/72/6,4/27/34/16/54/82,15/4/3/34/24/19,65/41/51/72/27/6
218,37,ScatterPlotColored,33/32/70/55/27/66,Opt1/Opt1/Opt2/Opt1/Opt1/Opt1,13/58/2/64/61/7,U/U/U/U/U/E,max/max/min/min/max/max,13/23/45/16/19/65,68/60/40/58/13/54,23/27/54/80/6/50,57/4/45/15/72/6,4/27/34/16/54/82,15/4/3/34/24/19,65/41/51/72/27/6
219,37,HeatMapDiscrete,33/32/70/55/27/66,Opt1/Opt1/Opt2/Opt1/Opt1/Opt1,13/58/2/64/61/7,U/U/U/U/U/E,max/max/min/min/max/max,13/23/45/16/19/65,68/60/40/58/13/54,23/27/54/80/6/50,57/4/45/15/72/6,4/27/34/16/54/82,15/4/3/34/24/19,65/41/51/72/27/6
220,37,HeatMapContinuous,33/32/70/55/27/66,Opt1/Opt1/Opt2/Opt1/Opt1/Opt1,13/58/2/64/61/7,U/U/U/U/U/E,max/max/min/min/max/max,13/23/45/16/19/65,68/60/40/58/13/54,23/27/54/80/6/50,57/4/45/15/72/6,4/27/34/16/54/82,15/4/3/34/24/19,65/41/51/72/27/6
221,37,IPPDiscrete,33/32/70/55/27/66,Opt1/Opt1/Opt2/Opt1/Opt1/Opt1,13/58/2/64/61/7,U/U/U/U/U/E,max/max/min/min/max/max,13/23/45/16/19/65,68/60/40/58/13/54,23/27/54/80/6/50,57/4/45/15/72/6,4/27/34/16/54/82,15/4/3/34/24/19,65/41/51/72/27/6
222,37,IPPContinuous,33/32/70/55/27/66,Opt1/Opt1/Opt2/Opt1/Opt1/Opt1,13/58/2/64/61/7,U/U/U/U/U/E,max/max/min/min/max/max,13/23/45/16/19/65,68/60/40/58/13/54,23/27/54/80/6/50,57/4/45/15/72/6,4/27/34/16/54/82,15/4/3/34/24/19,65/41/51/72/27/6
223,38,ScatterPlot,52/10/5/41/72/24,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,15/45/43/31/14/4,E/U/E/E/E/E,max/max/max/min/max/max,42/21/63/74/71/44,48/4/42/19/14/10,82/21/76/80/6/2,82/70/84/63/73/26,6/74/71/13/44/40,71/78/44/76/75/63,22/69/4/54/79/44
224,38,ScatterPlotColored,52/10/5/41/72/24,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,15/45/43/31/14/4,E/U/E/E/E/E,max/max/max/min/max/max,42/21/63/74/71/44,48/4/42/19/14/10,82/21/76/80/6/2,82/70/84/63/73/26,6/74/71/13/44/40,71/78/44/76/75/63,22/69/4/54/79/44
225,38,HeatMapDiscrete,52/10/5/41/72/24,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,15/45/43/31/14/4,E/U/E/E/E/E,max/max/max/min/max/max,42/21/63/74/71/44,48/4/42/19/14/10,82/21/76/80/6/2,82/70/84/63/73/26,6/74/71/13/44/40,71/78/44/76/75/63,22/69/4/54/79/44
226,38,HeatMapContinuous,52/10/5/41/72/24,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,15/45/43/31/14/4,E/U/E/E/E/E,max/max/max/min/max/max,42/21/63/74/71/44,48/4/42/19/14/10,82/21/76/80/6/2,82/70/84/63/73/26,6/74/71/13/44/40,71/78/44/76/75/63,22/69/4/54/79/44
227,38,IPPDiscrete,52/10/5/41/72/24,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,15/45/43/31/14/4,E/U/E/E/E/E,max/max/max/min/max/max,42/21/63/74/71/44,48/4/42/19/14/10,82/21/76/80/6/2,82/70/84/63/73/26,6/74/71/13/44/40,71/78/44/76/75/63,22/69/4/54/79/44
228,38,IPPContinuous,52/10/5/41/72/24,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,15/45/43/31/14/4,E/U/E/E/E/E,max/max/max/min/max/max,42/21/63/74/71/44,48/4/42/19/14/10,82/21/76/80/6/2,82/70/84/63/73/26,6/74/71/13/44/40,71/78/44/76/75/63,22/69/4/54/79/44
229,39,ScatterPlot,7/39/22/34/9/56,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,45/23/16/19/13/65,E/U/U/E/U/U,min/max/max/max/max/max,63/69/16/49/84/38,17/9/45/2/63/58,69/19/82/76/25/72,66/84/34/16/8/54,6/72/19/78/65/49,84/79/70/25/66/78,6/80/38/50/27/54
230,39,ScatterPlotColored,7/39/22/34/9/56,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,45/23/16/19/13/65,E/U/U/E/U/U,min/max/max/max/max/max,63/69/16/49/84/38,17/9/45/2/63/58,69/19/82/76/25/72,66/84/34/16/8/54,6/72/19/78/65/49,84/79/70/25/66/78,6/80/38/50/27/54
231,39,HeatMapDiscrete,7/39/22/34/9/56,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,45/23/16/19/13/65,E/U/U/E/U/U,min/max/max/max/max/max,63/69/16/49/84/38,17/9/45/2/63/58,69/19/82/76/25/72,66/84/34/16/8/54,6/72/19/78/65/49,84/79/70/25/66/78,6/80/38/50/27/54
232,39,HeatMapContinuous,7/39/22/34/9/56,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,45/23/16/19/13/65,E/U/U/E/U/U,min/max/max/max/max/max,63/69/16/49/84/38,17/9/45/2/63/58,69/19/82/76/25/72,66/84/34/16/8/54,6/72/19/78/65/49,84/79/70/25/66/78,6/80/38/50/27/54
233,39,IPPDiscrete,7/39/22/34/9/56,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,45/23/16/19/13/65,E/U/U/E/U/U,min/max/max/max/max/max,63/69/16/49/84/38,17/9/45/2/63/58,69/19/82/76/25/72,66/84/34/16/8/54,6/72/19/78/65/49,84/79/70/25/66/78,6/80/38/50/27/54
234,39,IPPContinuous,7/39/22/34/9/56,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,45/23/16/19/13/65,E/U/U/E/U/U,min/max/max/max/max/max,63/69/16/49/84/38,17/9/45/2/63/58,69/19/82/76/25/72,66/84/34/16/8/54,6/72/19/78/65/49,84/79/70/25/66/78,6/80/38/50/27/54
235,40,ScatterPlot,64/21/79/68/78/75,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,7/71/8/84/75/35,U/U/U/U/E/U,max/max/min/max/max/min,55/21/19/79/33/83,14/72/81/27/50/55,4/72/3/27/21/40,15/4/19/3/34/24,79/22/43/27/72/10,82/14/72/33/34/19,4/83/14/27/54/40
236,40,ScatterPlotColored,64/21/79/68/78/75,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,7/71/8/84/75/35,U/U/U/U/E/U,max/max/min/max/max/min,55/21/19/79/33/83,14/72/81/27/50/55,4/72/3/27/21/40,15/4/19/3/34/24,79/22/43/27/72/10,82/14/72/33/34/19,4/83/14/27/54/40
