Sex,Length,Diameter,Height,Whole_Weight,Shucked_Weight,Viscera_Weight,Shell_Weight,Rings,Scaled_Length,Scaled_Diameter,Scaled_Height,Scaled_Whole_Weight,Scaled_Shucked_Weight,Scaled_Viscera_Weight,Scaled_Shell_Weight,Scaled_Rings,Radius
I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6,310,225,50,144.5,67.5,38.5,45,60,1
F,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7,375,290,80,282,140.5,72.5,80,70,1
F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8,480,380,120,608,270.5,140.5,185,80,1
I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9,455,370,125,433,201,126.5,145,90,1
M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7,425,325,100,329.5,136.5,72.5,110,70,1
I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9,475,360,110,455.5,177,96.5,145,90,1
F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11,435,350,120,458.5,192,100,130,110,1
F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6,290,210,75,275,113,67.5,35,60,1
M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7,385,295,95,335,147,94,90,70,1
M,0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8,470,375,115,426.5,168.5,75.5,150,80,1
F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10,500,400,125,576.5,239.5,126,185,100,1
I,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7,400,310,100,127,106,71,85,70,1
M,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,12,620,510,175,1150.5,437.5,226.5,400,120,1
M,0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12,595,470,150,891.5,359,210.5,245,120,1
M,0.585,0.455,0.14,0.97,0.462,0.185,0.295,9,585,455,140,970,462,185,295,90,1
M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6,320,240,80,180,80,38.5,55,60,1
F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10,520,410,125,698.5,294.5,162.5,215,100,1
M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9,440,350,110,458.5,200,88.5,130,90,1
F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8,440,330,115,400.5,143,113,120,80,1
M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12,565,425,100,714.5,305.5,166,180,120,1
F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9,560,425,125,932,361,213,335,90,1
F,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10,590,455,175,966,391,245.5,310,100,1
F,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16,570,465,180,999.5,405,277,295,160,1
M,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14,680,530,205,1496,582.5,337,465,140,1
F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10,450,360,125,506.5,222,105,160,100,1
I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7,320,240,75,173.5,76,35.5,50,70,1
I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9,460,350,110,394.5,168.5,86.5,125,90,1
M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10,470,370,105,466.5,202.5,101.5,155,100,1
M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9,455,350,105,401,157.5,83,135,90,1
F,0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9,415,325,115,345.5,140.5,76.5,110,90,1
M,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,11,465,350,120,520.5,201.5,162.5,185,110,1
M,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,12,460,375,135,493.5,186,84.5,170,120,1
M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,415,310,90,324.5,130.5,73.5,115,80,1
M,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,7,270,195,70,106,46.5,18,36,70,1
M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10,445,355,110,441.5,180.5,103.5,150.5,100,1
F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18,745,585,190,1966,843.5,437,585.5,180,1
F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8,400,300,115,302.5,133.5,46.5,93.5,80,1
I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5,280,200,75,122.5,54.5,11.5,35,50,1
M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10,550,440,135,879,368,209.5,265,100,1
M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16,580,460,165,1227.5,473,196.5,435,160,1
M,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12,610,500,165,1271.5,491.5,185,490,120,1
M,0.62,0.495,0.175,1.806,0.643,0.3285,0.725,17,620,495,175,1806,643,328.5,725,170,1
M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14,560,420,195,808.5,302.5,179.5,285,140,1
F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12,640,510,200,1390.5,610,331.5,410,120,1
M,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,19,690,550,200,1846.5,732,472,570,190,1
F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,17,715,565,240,2199.5,724.5,465,885,170,1
F,0.71,0.565,0.195,1.817,0.785,0.492,0.49,11,710,565,195,1817,785,492,490,110,1
F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9,550,470,150,897,377,184,290,90,1
M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5,375,305,90,324.5,139.5,56.5,95,50,1
F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9,610,450,160,1136,414,311,300,90,1
I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6,380,280,85,273.5,115,61,85,60,1
F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5,370,275,85,240.5,104,53.5,70,50,1
M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6,335,235,85,154.5,66,34.5,45,60,1
I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4,165,115,15,14.5,5.5,3,5,40,1
M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7,285,210,75,118.5,55,28.5,40,70,1
I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6,190,130,30,29.5,15.5,15,10,60,1
I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5,215,150,30,38.5,11.5,5,10,50,1
M,0.595,0.465,0.125,0.799,0.3245,0.2,0.23,10,595,465,125,799,324.5,200,230,100,1
F,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13,645,500,170,1184.5,480.5,274,355,130,1
M,0.575,0.45,0.185,0.925,0.342,0.197,0.35,12,575,450,185,925,342,197,350,120,1
F,0.57,0.45,0.17,1.098,0.414,0.187,0.405,20,570,450,170,1098,414,187,405,200,1
F,0.58,0.45,0.235,1.071,0.3,0.206,0.395,14,580,450,235,1071,300,206,395,140,1
F,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15,595,480,200,975,358,203.5,340,150,1
F,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14,595,470,250,1283,462,247.5,445,140,1
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21,625,420,165,1059.5,358,165,445,210,1
M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16,535,420,165,919.5,335.5,198.5,260,160,1
M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13,550,430,160,929.5,317,173.5,355,130,1
M,0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6,495,400,155,808.5,234.5,115.5,350,60,1
I,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6,320,235,80,148.5,64,31,45,60,1
M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9,445,340,120,447.5,193,103.5,130,90,1
F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9,520,400,125,686.5,295,171.5,185,90,1
M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14,495,385,135,633.5,200,122.5,260,140,1
M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12,470,370,135,547,222,132.5,170,120,1
F,0.49,0.37,0.14,0.585,0.243,0.115,0.195,10,490,370,140,585,243,115,195,100,1
M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11,580,470,165,927,321.5,198.5,315,110,1
M,0.645,0.495,0.185,1.4935,0.5265,0.2785,0.455,15,645,495,185,1493.5,526.5,278.5,455,150,1
F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14,575,485,165,1040.5,419,264,300,140,1
I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,6,215,170,55,60.5,20.5,14,20,60,1
I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13,430,325,110,367.5,135.5,93.5,120,130,1
I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5,260,215,80,99,37,25.5,45,50,1
I,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11,370,280,90,233,90.5,54.5,70,110,1
I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10,405,305,105,362.5,156.5,70.5,125,100,1
I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6,270,190,80,81,26.5,19.5,30,60,1
F,0.68,0.55,0.2,1.596,0.525,0.4075,0.585,21,680,550,200,1596,525,407.5,585,210,1
F,0.65,0.515,0.195,1.4005,0.5195,0.36,0.44,13,650,515,195,1400.5,519.5,360,440,130,1
F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25,645,490,215,1406,426.5,228.5,510,250,1
M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19,570,405,160,924.5,344.5,218.5,295,190,1
M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18,615,480,190,1360,530.5,237.5,470,180,1
M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7,420,345,105,430,175,96,130,70,1
I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6,275,220,80,136.5,56.5,28.5,42,60,1
F,0.29,0.225,0.075,0.14,0.0515,0.0235,0.04,5,290,225,75,140,51.5,23.5,40,50,1
M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8,420,340,115,421.5,175,93,135,80,1
F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16,625,525,215,1576.5,511.5,259.5,665,160,1
F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27,550,465,180,1212.5,324.5,205,525,270,1
M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18,660,505,200,1630.5,486.5,297,610,180,1
M,0.565,0.47,0.195,1.142,0.387,0.258,0.35,17,565,470,195,1142,387,258,350,170,1
F,0.595,0.495,0.235,1.366,0.5065,0.219,0.52,13,595,495,235,1366,506.5,219,520,130,1
M,0.63,0.51,0.23,1.539,0.5635,0.2815,0.57,17,630,510,230,1539,563.5,281.5,570,170,1
F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8,430,325,120,445,165,99.5,155,80,1
F,0.455,0.35,0.14,0.5725,0.1965,0.1325,0.175,10,455,350,140,572.5,196.5,132.5,175,100,1
I,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7,330,260,80,190,76.5,38.5,65,70,1
F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13,515,415,130,764,276,196,250,130,1
M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14,495,390,150,853,328.5,189,270,140,1
F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13,485,375,145,588.5,238.5,115.5,190,130,1
F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8,535,460,145,787.5,339.5,200.5,200,80,1
M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17,580,465,175,1035,401,186.5,385,170,1
F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13,625,525,195,1352,450.5,244.5,530,130,1
F,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14,555,455,180,958,296,195,390,140,1
F,0.55,0.425,0.145,0.797,0.297,0.15,0.265,9,550,425,145,797,297,150,265,90,1
M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13,590,475,155,857,356,174,280,130,1
I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7,355,280,110,223.5,81.5,52.5,80,70,1
I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7,275,200,75,86,30.5,19,30,70,1
F,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12,505,390,175,692,267,150,215,120,1
M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7,370,280,95,222.5,80.5,51,75,70,1
M,0.555,0.43,0.165,0.7575,0.2735,0.1635,0.275,13,555,430,165,757.5,273.5,163.5,275,130,1
F,0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9,505,400,165,729,267.5,155,250,90,1
F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9,560,445,180,903,357.5,204.5,295,90,1
M,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,17,595,475,170,1096.5,419,229,350,170,1
F,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14,570,450,165,903,330.5,184.5,295,140,1
M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13,600,480,175,1229,412.5,273.5,415,130,1
F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15,560,435,185,1106,422,243.5,330,150,1
M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17,585,465,190,1171,390.5,235.5,400,170,1
I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8,460,335,110,444,225,74.5,110,80,1
F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8,460,360,115,475.5,210.5,105,160,80,1
M,0.415,0.315,0.125,0.388,0.068,0.09,0.125,12,415,315,125,388,68,90,125,120,1
F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11,435,320,120,378.5,152,91.5,125,110,1
F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7,475,380,135,486,173.5,70,185,70,1
M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10,465,360,130,526.5,210.5,118.5,165,100,1
I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11,355,280,100,227.5,93.5,45.5,85,110,1
M,0.46,0.375,0.14,0.5105,0.192,0.1045,0.205,9,460,375,140,510.5,192,104.5,205,90,1
F,0.38,0.325,0.11,0.3105,0.12,0.074,0.105,10,380,325,110,310.5,120,74,105,100,1
F,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9,470,365,120,543,229.5,149.5,150,90,1
M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6,360,270,90,222.5,83,53,75,60,1
F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12,585,455,165,998,345,249.5,315,120,1
M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11,655,590,200,1545.5,654,376.5,415,110,1
M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,600,485,175,1267.5,499.5,281.5,380,130,1
F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38,14,570,460,170,1100,412.5,220.5,380,140,1
F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11,645,500,200,1428.5,639,305,360,110,1
M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14,650,495,180,1793,800.5,339,530,140,1
M,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12,510,395,145,618.5,216,138.5,240,120,1
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,520,380,135,582.5,250.5,156.5,175,80,1
M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13,495,415,165,748.5,264,134,285,130,1
M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8,430,335,115,406,166,93.5,135,80,1
F,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13,590,465,160,1100.5,506,252.5,295,130,1
M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,10,550,460,175,869,315.5,182.5,320,100,1
M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11,585,430,160,955,362.5,176,270,110,1
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17,580,455,160,921.5,312,196,300,170,1
F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13,620,510,150,1456,581,287.5,320,130,1
I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14,590,450,160,893,274.5,218.5,345,140,1
F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13,720,575,215,2226,895.5,405,620,130,1
F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14,635,510,175,1212.5,573.5,261,360,140,1
F,0.61,0.48,0.175,1.0675,0.391,0.216,0.42,15,610,480,175,1067.5,391,216,420,150,1
F,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13,545,445,175,852.5,346.5,189,295,130,1
M,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12,570,450,160,861.5,372.5,217.5,255,120,1
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18,600,475,180,1162,511,267.5,320,180,1
F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14,520,410,170,870.5,373.5,219,250,140,1
M,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15,635,510,210,1598,653.5,283.5,580,150,1
F,0.67,0.52,0.15,1.406,0.519,0.348,0.37,13,670,520,150,1406,519,348,370,130,1
M,0.695,0.57,0.2,2.033,0.751,0.4255,0.685,15,695,570,200,2033,751,425.5,685,150,1
M,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20,655,525,185,1259,487,221.5,445,200,1
F,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14,620,480,230,1093.5,403,245,355,140,1
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19,600,475,180,1180.5,434.5,247.5,425,190,1
M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9,510,405,130,717.5,372.5,158,170,90,1
M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10,525,405,135,757.5,330.5,216,195,100,1
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9,440,375,130,487,226,96.5,155,90,1
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8,485,415,140,570.5,250,134,185,80,1
F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10,495,385,130,690.5,312.5,179,175,100,1
I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7,435,345,120,447.5,221,112,125,70,1
I,0.405,0.315,0.105,0.347,0.1605,0.0785,0.1,9,405,315,105,347,160.5,78.5,100,90,1
I,0.42,0.33,0.1,0.352,0.1635,0.089,0.1,9,420,330,100,352,163.5,89,100,90,1
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9,500,395,150,714.5,323.5,173,195,90,1
F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7,385,305,105,331.5,136.5,74.5,100,70,1
I,0.33,0.265,0.09,0.18,0.068,0.036,0.06,6,330,265,90,180,68,36,60,60,1
F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10,580,475,155,974,430.5,230,285,100,1
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6,325,270,100,185,80,43.5,65,60,1
M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10,475,375,120,563,252.5,120.5,185,100,1
F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9,380,300,90,321.5,154.5,75,95,90,1
I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,340,260,90,179,76,52.5,55,60,1
M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12,525,425,120,702,333.5,146.5,220,120,1
F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10,520,415,145,804.5,332.5,172.5,285,100,1
F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13,535,450,135,807.5,322,181,250,130,1
M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8,475,360,120,578,282.5,120,170,80,1
I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7,415,325,100,385,167,80,125,70,1
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,495,385,125,585,275.5,123.5,165,80,1
F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10,480,405,130,637.5,277,144.5,210,100,1
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10,520,425,150,813,385,201.5,230,100,1
M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9,460,375,130,573.5,250.5,119,195,90,1
F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11,580,455,120,940,399,257,265,110,1
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11,590,490,135,1008,422,224.5,285,110,1
F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23,550,415,135,775,302,179,260,230,1
F,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12,650,500,165,1144.5,485,218,365,120,1
F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16,465,375,135,600,222.5,129,230,160,1
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11,455,355,130,515,200,127.5,175,110,1
M,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13,470,375,130,579.5,214.5,164,195,130,1
F,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13,435,350,110,384,143,100.5,125,130,1
M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7,350,265,110,296.5,136.5,63,85,70,1
I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,315,240,70,137,54.5,31.5,40,80,1
M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,595,470,145,991,403.5,150.5,340,160,1
F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14,580,475,135,925,391,165,275,140,1
M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,575,435,150,805,293,162.5,270,170,1
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13,535,435,155,891.5,341.5,177,250,130,1
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13,515,420,140,769,250.5,154,290,130,1
F,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12,505,385,135,618.5,251,117.5,200,120,1
F,0.505,0.395,0.145,0.6515,0.2695,0.153,0.205,15,505,395,145,651.5,269.5,153,205,150,1
I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,400,310,100,287.5,114.5,63.5,95,100,1
M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14,490,395,135,554.5,213,92.5,215,140,1
M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12,530,435,135,736.5,327.5,131.5,220,120,1
I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8,395,325,105,306,111,73.5,95,80,1
F,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17,665,535,190,1496,577.5,281.5,475,170,1
F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10,415,305,105,360.5,120,82,100,100,1
M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,430,345,115,304.5,92.5,55,120,110,1
M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13,475,395,135,592,246.5,164.5,200,130,1
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15,525,425,145,799.5,334.5,209,240,150,1
I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15,480,390,145,582.5,231.5,121,255,150,1
I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9,420,345,115,343.5,151.5,79.5,115,90,1
M,0.59,0.46,0.155,0.906,0.327,0.1485,0.335,15,590,460,155,906,327,148.5,335,150,1
F,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215,9,515,420,135,629.5,281.5,127,215,90,1
M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13,695,550,220,1551.5,566,383.5,445,130,1
F,0.8,0.63,0.195,2.526,0.933,0.59,0.62,23,800,630,195,2526,933,590,620,230,1
M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23,610,490,150,1103,425,202.5,360,230,1
F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18,565,480,175,957,388.5,215,275,180,1
M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11,560,455,165,860,401.5,169.5,245,110,1
M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17,655,485,195,1620,627.5,358,485,170,1
M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17,640,520,200,1407,566,304,455,170,1
F,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11,590,470,170,900,355,190.5,250,110,1
I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7,310,240,90,145.5,60.5,31.5,45,70,1
I,0.255,0.185,0.07,0.075,0.028,0.018,0.025,6,255,185,70,75,28,18,25,60,1
I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6,170,125,55,23.5,9,5.5,8,60,1
M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21,670,550,170,1247,472,245.5,400,210,1
F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17,710,565,195,1726.5,638,336.5,565,170,1
F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13,560,430,125,802.5,313,171.5,263,130,1
M,0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11,505,400,130,764,303.5,189,217.5,110,1
M,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515,16,525,430,165,864.5,376,194.5,251.5,160,1
F,0.45,0.36,0.105,0.4715,0.2035,0.0935,0.149,9,450,360,105,471.5,203.5,93.5,149,90,1
F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12,515,435,170,631,276.5,111,216,120,1
M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19,590,475,160,945.5,381.5,184,270,190,1
M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,18,700,530,190,1318.5,548,233,420,180,1
F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17,720,560,175,1726.5,637,341.5,525,170,1
M,0.635,0.495,0.15,1.081,0.4825,0.242,0.31,11,635,495,150,1081,482.5,242,310,110,1
M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,555,440,135,902.5,380.5,210.5,280,130,1
M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,575,470,150,1141.5,451.5,204,400,130,1
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17,585,455,125,1027,391,212,250,170,1
F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20,610,485,210,1344.5,535,220.5,515,200,1
F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13,645,525,200,1449,601,256.5,505,130,1
F,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11,545,440,175,774.5,298.5,187.5,265,110,1
M,0.55,0.45,0.155,0.7895,0.343,0.159,0.25,12,550,450,155,789.5,343,159,250,120,1
F,0.66,0.525,0.205,1.3665,0.5005,0.291,0.41,18,660,525,205,1366.5,500.5,291,410,180,1
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18,570,475,195,1029.5,463.5,190.5,305,180,1
F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15,600,470,200,1031,392,203.5,290,150,1
F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12,630,505,165,1065,459.5,216,315,120,1
M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19,695,570,230,1885,866.5,435,500,190,1
